,Sender.Location,Sender.LatLong.String,Receiver.Location,Receiver.LatLong.String,Date,Category
117,"USA, Newport (KY)",39.091449 -84.495776,"DEU, Ribnitz (Mecklenburg)",54.252211 12.439749,1854-07-10,C
119,"USA, Oskaloosa (IA)",41.291673 -92.649359,"DEU, Ribnitz (Mecklenburg)",54.252211 12.439749,1856-04-21,D
120,"USA, Oskaloosa (IA)",41.291673 -92.649359,"DEU, Ribnitz (Mecklenburg)",54.252211 12.439749,1856-11-25,D
122,"USA, Oskaloosa (IA)",41.291673 -92.649359,"DEU, Ribnitz (Mecklenburg)",54.252211 12.439749,1857-01-02,D
123,"USA, Oskaloosa (IA)",41.291673 -92.649359,"DEU, Ribnitz (Mecklenburg)",54.252211 12.439749,1857-10-29,D
124,"USA, Warsaw (IL)",40.359211 -91.434598,"DEU, Ribnitz (Mecklenburg)",54.252211 12.439749,1859-12-01,D
125,"USA, Warsaw (IL)",40.359211 -91.434598,"DEU, Ribnitz (Mecklenburg)",54.252211 12.439749,1860-11-18,D
126,"USA, Warsaw (IL)",40.359211 -91.434598,"DEU, Ribnitz (Mecklenburg)",54.252211 12.439749,1860-12-05,D
127,"USA, Warsaw (IL)",40.359211 -91.434598,"DEU, Ribnitz (Mecklenburg)",54.252211 12.439749,1862-04-10,D
128,"USA, Koekuk (IA?)",40.404473 -91.396397,"DEU, Ribnitz (Mecklenburg)",54.252211 12.439749,1867-02-22,D
129,"USA, Koekuk (IA?)",40.404473 -91.396397,"DEU, Ribnitz (Mecklenburg)",54.252211 12.439749,1867-12-08,D
130,"USA, Cincinnati (OH)",39.103118 -84.51202,"DEU, Ribnitz (Mecklenburg)",54.252211 12.439749,1850-01-25,D
131,"USA, Cincinnati (OH)",39.103118 -84.51202,"DEU, Ribnitz (Mecklenburg)",54.252211 12.439749,1851-01-26,D
